id,korean,english,sample_sentence
648,언어,language,"언어를 배우는 것이 재미있어요. / Learning languages is fun. [cite: 2230"
649,드라이 하다,blow-dry,"저는 매일 아침 머리카락을 드라이 해요. / I blow-dry my hair every morning. [cite: 2232"
650,무술,martial arts,"우리 무술사범님은 이십오년 동안 무술을 연습하셨습니다. / Our martial arts instructor has practiced for twenty five years. [cite: 2233"
651,만족스러워 하는,satisfied,"저는 결과에 만족스러워 하고 있어요. / I’m satisfied with the result. [cite: 2234"
652,평온한,calm,"바다가 평온해요. / The ocean is calm. [cite: 2235"
653,빗다,comb,"저는 매일 강아지 털을 빗어요. / I comb my dog every day. [cite: 2236"
654,가글하다,gargle,"저는 매일 수차례 입 안을 가글해요. / I gargle several times a day. [cite: 2237"
655,불만스러워하는,dissatisfied,"남자는 그 제품에 대해 불만스러워하고 있다. / The man is dissatisfied with the product. [cite: 2239"
656,오천,five thousand,"오천 명이 광장에 모여 시위하고 있었습니다. / Five thousand people were protesting on the square. [cite: 2240"
657,삼천,three thousand,"페루에는 감자 종류가 삼천 개가 넘습니다. / In Peru"
658,육천,six thousand,"삼계탕의 가격은 육천원입니다. / The price of the Samgyetang is six thousand won. [cite: 2243"
659,칠천,seven thousand,"그녀는 음반을 칠천 장 판매했습니다. / She sold seven thousand albums. [cite: 2244"
660,구천,nine thousand,"구천 명의 병력이 나라에서 철수했습니다. / Nine thousand troops withdrew from the country. [cite: 2245"
661,장미,rose,"제가 제일 좋아하는 꽃은 장미입니다. / Roses are my favorite flower. "
662,꽃,flower,"저는 매주 일요일 아침 아내에게 생생한 꽃을 가져다 줍니다. / Every Sunday morning I bring my wife fresh flowers. [cite: 2248"
663,백합,lily,"백합은 순결을 상징해요. / A lily symbolizes purity. [cite: 2249"
664,해바라기,sunflower,"해바라기꽃은 팔에서 십이 피트 정도의 높이까지 자랍니다. / Sunflowers grow to heights between 8-12 feet. [cite: 2250"
665,민들레,dandelion,"민들레는 잡초로 간주됩니다. / Dandelions are considered weeds. "
666,여행,traveling,"남자의 취미는 여행입니다. / The man’s hobby is traveling. "
667,운동,exercise,"아침부터 운동하고 있어요. / I have been exercising since morning. "
668,운동하다,workout,"매일 30분 운동하는 것은 건강에 좋습니다. / A 30 minute workout every day is good for your health. [cite: 2254"
669,독서,reading,"저는 독서를 좋아하지 않아요. / I don’t like reading. "
670,카드놀이,playing cards,"우리는 여름에 종종 카드놀이를 해요. / We often play cards on a warm summer evening."
